	x	y	gene	sig	fc	cluster
SSR1	9.389178241	5.20285932	SSR1	0	0.492665432	1
TM9SF1	-4.10605876	-10.92507634	TM9SF1	0	0.536301912	2
ASXL3	4.940745721	12.6007868	ASXL3	0	-0.823012868	1
DNASE2	-2.530512083	-14.27267491	DNASE2	1	1.051061503	2
HDLBP	9.272285288	6.330698243	HDLBP	0	0.611271903	3
ANXA5	-12.8180897	1.320253574	ANXA5	1	1.265178113	4
PTTG1IP	-5.162633447	2.181438642	PTTG1IP	0	0.434491646	1
SERPINH1	-14.46440075	-0.7362882	SERPINH1	1	1.80640433	1
BIVM	12.52527314	10.57840362	BIVM	0	-0.499772381	1
FKBP10	-12.60496052	-2.677845046	FKBP10	1	1.87065028	4
TTN	2.285572883	8.991608265	TTN	-1	-1.200434403	1
PDIA4	-13.87343281	-2.591689796	PDIA4	1	1.004295941	4
HMG20B	-14.47586889	-6.348728859	HMG20B	1	1.057288572	5
RAB15	4.820233272	6.382317915	RAB15	-1	-1.009483555	2
MLEC	7.608938495	-1.291354515	MLEC	0	0.863241314	1
LIPG	-11.50950377	0.403388638	LIPG	1	1.807700834	1
FZD2	-13.53352185	-2.389789276	FZD2	1	1.69919095	6
TMEM123	-10.2716282	3.947206252	TMEM123	1	2.099491717	3
RREB1	-9.358507998	4.549467952	RREB1	1	1.968124672	1
GNG5	-16.76005272	-3.487569734	GNG5	1	1.569319276	3
TP53	-11.66666503	-3.475151389	TP53	1	1.206467491	7
NUDCD2	4.110241767	-9.464204267	NUDCD2	0	0.633646098	1
TCF7L1	-7.760487274	5.123124701	TCF7L1	1	1.661869019	1
KDELR3	-8.102389118	-10.59878276	KDELR3	1	2.192913273	3
SCN3B	4.795762965	12.03447196	SCN3B	0	-0.71422659	8
PIGT	-0.34862141	-9.120019457	PIGT	0	0.475509036	1
RAVER1	-5.558583609	-8.017666087	RAVER1	0	0.755655521	1
NFKB2	-13.22816123	-4.841522072	NFKB2	1	1.677338516	1
ALDH18A1	3.527627971	0.070353571	ALDH18A1	0	0.884770219	4
MTERF4	7.820323293	1.027091271	MTERF4	0	-0.455974063	1
GUCD1	-7.107924921	-12.46299825	GUCD1	0	0.825676048	1
