	x	y
Cell differentiation	-2.36259173800114	2.94633522126132
Localization	12.0545582099832	-5.7617670095148
RNA metabolism	-9.89574523852001	5.19974054400763
Neurogenesis	17.6002448162773	-2.65180260786746
Cell cycle	-15.2527457491746	-0.197550899674449
Translation	-9.59390274155604	-8.35809163706474
Mitochondria	-8.48392479243387	1.41472157137728
Oxidative phosphorylation	-5.89191445521533	-6.53567262891091
Synaptic signaling	7.61242520122724	-9.48867718740211
Transport	6.52142902375274	-6.25688459013669
Cytoskeleton	-7.96246548582768	4.45637164357798
Lipid metabolism	-5.38267336691269	-0.233451725304915
Cytokine	-8.52946097827729	8.5732376565281
